species,events_lost,provinces,first_year,last_year,in_birdwatch_modelled,in_rescue_modelled,modelling_status
Branta ruficollis,4,Hebei;Henan;Sichuan;Xinjiang,2008,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Charadrius hiaticula,4,Jiangsu;Xinjiang;Yunnan;Zhejiang,2010,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris alpina,4,Shaanxi;Tibet;Yunnan;Chongqing,2011,2019,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Phalaropus fulicarius,4,Beijing;Hainan;Henan;Sichuan,2011,2023,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
Stercorarius parasiticus,4,Hunan;Inner Mongolia;Sichuan;Yunnan,2017,2019,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
Chalcophaps indica,4,Anhui;Hunan;Jiangxi;Zhejiang,2011,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Amaurornis phoenicurus,4,Heilongjiang;Jilin;Inner Mongolia;Qinghai,2002,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Charadrius mongolus,3,Shaanxi;Yunnan,2013,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Larus fuscus,3,Hubei;Inner Mongolia;Tibet,2018,2023,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Onychoprion aleuticus,3,Fujian;Shandong;Zhejiang,2009,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris tenuirostris,3,Jilin;Sichuan;Yunnan,2011,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Clamator coromandus,3,Beijing;Heilongjiang;Liaoning,2003,2022,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Gavia adamsii,3,Jilin;Jiangsu;Sichuan,2006,2012,FALSE,FALSE,not_modelled_at_all
